year,winner_name,loser_name
2005,Nikolay Davydenko,Guillermo Coria
2005,Tommy Robredo,Marat Safin
2005,Guillermo Canas,Nicolas Kiefer
2005,Mariano Puerta,Jose Acasuso
2005,Roger Federer,Victor Hanescu
2005,Rafael Nadal,David Ferrer
2005,Nikolay Davydenko,Tommy Robredo
2005,Mariano Puerta,Guillermo Canas
2005,Rafael Nadal,Roger Federer
2005,Mariano Puerta,Nikolay Davydenko
2005,Rafael Nadal,Mariano Puerta
2005,Roger Federer,Fabrice Santoro
2005,Takao Suzuki,Jan Michael Gambill
2005,Jarkko Nieminen,Davide Sanguinetti
2005,Paradorn Srichaphan,Potito Starace
2005,Ivan Ljubicic,Luis Horna
2005,Marcos Baghdatis,Federico Luzzi
2005,Tomas Zib,Jimmy Wang
2005,Tommy Robredo,Scott Draper
2005,Joachim Johansson,Sjeng Schalken
2005,Peter Wessels,Yen Hsun Lu
2005,Sargis Sargsian,David Sanchez
2005,Feliciano Lopez,Paul Baccanello
2005,Taylor Dent,Florent Serra
2005,Michal Tabara,Thomas Enqvist
2005,Rainer Schuettler,Olivier Patience
2005,Andre Agassi,Dieter Kindlmann
2005,Marat Safin,Novak Djokovic
2005,Bohdan Ulihrach,Ivo Karlovic
2005,Bjorn Phau,Albert Costa
2005,Mario Ancic,Oscar Hernandez
2005,Olivier Rochus,Nicolas Kiefer
2005,Gael Monfils,Robby Ginepri
2005,Karol Beck,Todd Reid
2005,Tommy Haas,Xavier Malisse
2005,Gaston Gaudio,Justin Gimelstob
2005,Mardy Fish,Juan Monaco
2005,Janko Tipsarevic,Daniele Bracciali
2005,Dominik Hrbaty,Robin Soderling
2005,Thomas Johansson,Peter Luczak
2005,Agustin Calleri,Max Mirnyi
2005,Kevin Kim,Hyung Taik Lee
2005,Guillermo Garcia Lopez,Carlos Moya
2005,Guillermo Coria,Tomas Berdych
2005,Ricardo Mello,Alberto Martin
2005,Mariano Zabaleta,Marc Kimmich
2005,Juan Carlos Ferrero,Melle Van Gemerden
2005,Fernando Gonzalez,Jose Acasuso
